Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
1,50,BNB: Buy BINANCE -> Sell KRAKEN,307840.41,-0.8680,1.0000
1,100,BTC: Buy COINBASE -> Sell KRAKEN,309667.46,-1.3360,1.0000
1,150,ETH: Buy KRAKEN -> Sell COINBASE,308484.88,0.3330,1.0000
1,200,WAIT (Holding Capital),309285.94,-0.0100,1.0000
2,50,ETH: Buy KRAKEN -> Sell COINBASE,307570.30,-1.1830,0.9997
2,100,BNB: Buy COINBASE -> Sell BINANCE,308543.37,0.5909,0.9997
2,150,BTC: Buy KRAKEN -> Sell BINANCE,306813.97,-2.0000,0.9997
2,200,ETH: Buy COINBASE -> Sell KRAKEN,308674.33,0.8439,0.9997
3,50,BNB: Buy COINBASE -> Sell BINANCE,307362.49,-0.1347,0.9994
3,100,BTC: Buy BINANCE -> Sell COINBASE,308686.43,-0.1063,0.9994
3,150,BTC: Buy KRAKEN -> Sell BINANCE,306741.11,-0.4441,0.9994
3,200,BTC: Buy KRAKEN -> Sell COINBASE,307944.48,-2.0000,0.9994
4,50,ETH: Buy BINANCE -> Sell KRAKEN,307176.75,0.3661,0.9991
4,100,ETH: Buy COINBASE -> Sell KRAKEN,308884.33,-2.0000,0.9991
4,150,BTC: Buy COINBASE -> Sell BINANCE,307831.81,-2.0000,0.9991
4,200,ETH: Buy COINBASE -> Sell BINANCE,309411.32,-2.0000,0.9991
5,50,BNB: Buy COINBASE -> Sell KRAKEN,307349.54,-0.7069,0.9988
5,100,BTC: Buy KRAKEN -> Sell BINANCE,309271.85,-0.2660,0.9988
5,150,BTC: Buy KRAKEN -> Sell COINBASE,307969.94,-2.7433,0.9988
5,200,BTC: Buy COINBASE -> Sell KRAKEN,309728.72,7.5780,0.9988
6,50,WAIT (Holding Capital),306977.41,-0.0100,0.9985
6,100,ETH: Buy BINANCE -> Sell KRAKEN,308837.51,-0.6320,0.9985
6,150,BTC: Buy COINBASE -> Sell BINANCE,306733.75,0.3771,0.9985
6,200,BNB: Buy BINANCE -> Sell KRAKEN,309079.87,-1.5625,0.9985
7,50,WAIT (Holding Capital),307032.87,-0.0100,0.9982
7,100,BTC: Buy COINBASE -> Sell BINANCE,308103.62,-0.5845,0.9982
7,150,BNB: Buy COINBASE -> Sell KRAKEN,306499.70,0.8648,0.9982
7,200,BNB: Buy KRAKEN -> Sell BINANCE,307545.23,-1.2729,0.9982
8,50,BNB: Buy BINANCE -> Sell COINBASE,307762.92,-0.4629,0.9979
8,100,WAIT (Holding Capital),308883.70,-0.0100,0.9979
8,150,ETH: Buy COINBASE -> Sell KRAKEN,307297.01,-1.0328,0.9979
8,200,BTC: Buy COINBASE -> Sell KRAKEN,308757.34,7.0516,0.9979
9,50,ETH: Buy COINBASE -> Sell KRAKEN,307647.02,-0.4802,0.9976
